scenario_id,return_period,duration_min,overflow_flag,total_inflow_m3,max_possible_drain_m3,inflow_minus_maxdrain_m3,reservoir_capacity_m3,peak_vol_m3,max_level_m
30yr_0240m_h508,30,240,0,54727.99890894096,189440,-134712.00109105904,16000.0,3136.6185454584743,6.549747179374538
30yr_0240m_h538,30,240,0,56453.71814880142,189440,-132986.28185119858,16000.0,3038.4849042230926,6.516156201934555
30yr_0240m_h547,30,240,0,56937.26395279997,189440,-132502.73604720004,16000.0,2993.240081690281,6.5006689766177
30yr_0240m_h578,30,240,0,56550.89219033366,189440,-132889.10780966634,16000.0,3309.7332176408936,6.609004035378301
30yr_0240m_h615,30,240,0,55976.057606414906,189440,-133463.9423935851,16000.0,3368.0120198888817,6.6289527696441155
50yr_0240m_h515,50,240,0,61278.206319650504,189440,-128161.7936803495,16000.0,3020.749928577334,6.510085550124271
50yr_0240m_h542,50,240,0,61852.454176703046,189440,-127587.54582329695,16000.0,3423.2131056109247,6.647848006810586
50yr_0240m_h549,50,240,0,62489.24832429293,189440,-126950.75167570707,16000.0,3383.874325071196,6.634382409559822
50yr_0240m_h560,50,240,0,61351.38062022278,189440,-128088.61937977723,16000.0,3386.217013008135,6.635184307631146
50yr_0240m_h565,50,240,0,61782.06641600786,189440,-127657.93358399214,16000.0,3364.192326647297,6.627645295184894
80yr_0240m_h502,80,240,0,66067.80859175514,189440,-123372.19140824486,16000.0,3324.333559968867,6.614001707568805
80yr_0240m_h508,80,240,0,65161.36893443389,189440,-124278.63106556611,16000.0,3296.281724744682,6.604399612382043
80yr_0240m_h538,80,240,0,67100.5437671591,189440,-122339.4562328409,16000.0,3336.299707589844,6.618097699419506
80yr_0240m_h605,80,240,0,66315.62028150047,189440,-123124.37971849953,16000.0,3406.736574475053,6.642208118402219
80yr_0240m_h612,80,240,0,65521.953323107606,189440,-123918.0466768924,16000.0,3290.9448325483363,6.602572803317279
100yr_0240m_h514,100,240,0,69114.73698994546,189440,-120325.26301005454,16000.0,3313.7914431190984,6.6103931590138725
100yr_0240m_h566,100,240,0,68160.61434208245,189440,-121279.38565791755,16000.0,3290.8267705133676,6.602532390884771
100yr_0240m_h567,100,240,0,68624.12604806003,189440,-120815.87395193997,16000.0,3434.6394104850633,6.65175921141298
100yr_0240m_h592,100,240,0,68466.20806359465,189440,-120973.79193640535,16000.0,3501.6431907719725,6.674694490728792
100yr_0240m_h612,100,240,0,68545.2490628791,189440,-120894.7509371209,16000.0,3568.163260023166,6.697464196584947
10yr_0360m_h705,10,360,0,54250.89320611418,266240,-211989.10679388582,16000.0,3062.3649737817896,6.524330308873962
10yr_0360m_h707,10,360,0,54339.93472853311,266240,-211900.06527146688,16000.0,3021.101386245814,6.510205853482675
10yr_0360m_h717,10,360,0,54562.81016157567,266240,-211677.18983842432,16000.0,3084.6054169204845,6.531943174496009
10yr_0360m_h719,10,360,0,54948.852165427175,266240,-211291.14783457282,16000.0,3025.9608690916175,6.51186924614383
10yr_0360m_h735,10,360,0,54009.55798882182,266240,-212230.44201117818,16000.0,3065.4667800121747,6.525392051837908
20yr_0360m_h634,20,360,0,61872.115449269804,266240,-204367.8845507302,16000.0,3008.952197842931,6.5060472070856
20yr_0360m_h656,20,360,0,63454.41645131832,266240,-202785.5835486817,16000.0,3031.157588391588,6.513648074266069
20yr_0360m_h665,20,360,0,63364.06560290605,266240,-202875.93439709395,16000.0,3033.583656305798,6.514478513160909
20yr_0360m_h688,20,360,0,62663.54577345914,266240,-203576.45422654087,16000.0,3088.8246563688667,6.533387412937998
20yr_0360m_h726,20,360,0,64668.35266553799,266240,-201571.647334462,16000.0,3000.6255693111652,6.503197016390129
30yr_0360m_h630,30,360,0,67413.29464866171,266240,-198826.70535133829,16000.0,3119.2994761407144,6.543818891588509
30yr_0360m_h648,30,360,0,67923.6882569196,266240,-198316.31174308038,16000.0,3069.7507322545725,6.5268584413585335
30yr_0360m_h668,30,360,0,68456.14786766653,266240,-197783.85213233347,16000.0,3128.068973696897,6.54682067559307
30yr_0360m_h702,30,360,0,68423.62030066681,266240,-197816.3796993332,16000.0,3109.5735391242965,6.540489719993647
30yr_0360m_h709,30,360,0,68467.80910204463,266240,-197772.19089795538,16000.0,3124.647996803001,6.545649681057262
50yr_0360m_h626,50,360,0,74236.7587787555,266240,-192003.2412212445,16000.0,3073.2630777334484,6.528060711204604
50yr_0360m_h686,50,360,0,75556.72001867872,266240,-190683.27998132128,16000.0,3101.931709368195,6.53787393474706
50yr_0360m_h722,50,360,0,76255.24521986702,266240,-189984.75478013296,16000.0,3315.579457324151,6.611005193216091
50yr_0360m_h729,50,360,0,75507.8770868457,266240,-190732.1229131543,16000.0,3375.1157329020143,6.631384358450567
50yr_0360m_h738,50,360,0,76590.03036472171,266240,-189649.96963527828,16000.0,3365.3185193243344,6.628030789010775
