scenario_id,return_period,duration_min,n_steps,max_level_m,overflow_flag,n_switches,n_intervals_100,n_intervals_170,n_dryrun_proxy,cum_reward,total_inflow_m3,total_outflow_m3,peak_inflow_per_step_m3,max_possible_drain_m3,reservoir_capacity_m3,inflow_minus_maxdrain_m3,peak_vol_m3,wall_s
10yr_0240m_h598,10,240,149,6.510449815018178,0,12,184,23,0,301.9593723464025,45287.23801812611,44620.0,959.8435603564934,189440,16000.0,-144152.7619818739,3021.814102445962,0.08417898695915937
20yr_0240m_h506,20,240,149,6.547341564664454,0,22,214,23,0,300.12495569282527,51292.43643992583,50620.0,799.5462445551773,189440,16000.0,-138147.56356007417,3129.590713912584,0.0856999889947474
20yr_0240m_h543,20,240,149,6.525623787130474,0,14,214,23,0,301.8063077840162,51976.65637010765,50620.0,904.5271404904521,189440,16000.0,-137463.34362989233,3066.143778116885,0.08785361400805414
20yr_0240m_h547,20,240,149,6.519105746498374,0,8,214,21,0,303.1122700334979,51254.96795808239,49940.0,890.0918672916255,189440,16000.0,-138185.0320419176,3047.1017879845367,0.08684286009520292
20yr_0240m_h579,20,240,149,6.529441099190163,0,9,203,30,0,303.1795480430649,51630.683723878494,50600.0,969.5977765444612,189440,16000.0,-137809.3162761215,3077.29578263412,0.08730706106871367
20yr_0240m_h605,20,240,149,6.630829255540213,0,14,201,33,0,302.9946076708703,52028.54736859111,51420.0,1094.947774196452,189440,16000.0,-137411.45263140887,3373.494039399623,0.08753466210328043
30yr_0240m_h508,30,240,149,6.549747179374538,0,12,218,28,0,302.6352121182791,54727.99890894096,53120.0,868.7573963561059,189440,16000.0,-134712.00109105904,3136.6185454584743,0.08716458594426513
30yr_0240m_h538,30,240,149,6.516156201934555,0,12,216,35,0,303.8546621437706,56453.71814880142,55100.0,990.7709013312331,189440,16000.0,-132986.28185119858,3038.4849042230926,0.08867427101358771
30yr_0240m_h547,30,240,149,6.5006689766177,0,18,220,36,0,302.647899088013,56937.26395279997,56240.0,999.6457176525953,189440,16000.0,-132502.73604720004,2993.240081690281,0.08837049198336899
30yr_0240m_h578,30,240,149,6.609004035378301,0,10,209,38,0,303.93017562011914,56550.89219033366,54720.0,1061.9830155446923,189440,16000.0,-132889.10780966634,3309.7332176408936,0.09179298114031553
