condition,scenario,n_decisions,swmm_time_s,inference_time_s,total_time_s,ms_per_decision_inference_only,margin_x
GA-guided,100yr_0060m_h140,58,0.038265256909653544,0.006986447377130389,0.048046957002952695,0.12045598926086877,144858.28935164984
GA-guided,100yr_0120m_h322,88,0.053001113003119826,0.010370033560320735,0.06752944714389741,0.11784129045819017,156376.22469347136
GA-guided,100yr_0180m_h465,118,0.06761837494559586,0.013467791955918074,0.08641107589937747,0.11413383013489893,163867.88212761987
GA-guided,100yr_0240m_h602,148,0.08321376284584403,0.01693962048739195,0.10689455294050276,0.11445689518508073,166145.04211346645
GA-guided,100yr_0360m_h670,208,0.1196077149361372,0.024179408326745033,0.15315366094000638,0.11624715541704342,162973.57730010367
GA-guided,100yr_0540m_h862,298,0.1644784400705248,0.033943535294383764,0.2116824551485479,0.11390448085363679,168932.28101925342
GA-guided,100yr_0720m_h964,388,0.21155785699374974,0.043832139344885945,0.27259273501113057,0.11296943130125243,170804.25858781178
GA-guided,100yr_1080m_h1077,568,0.2869588448666036,0.06290400237776339,0.374547204002738,0.11074648305944258,181979.73251857926
GA-guided,100yr_1440m_h1202,748,0.3729118490591645,0.0841274440754205,0.4897445470560342,0.11246984502061563,183279.22289195002
GA-guided,20yr_0060m_h225,58,0.03600757918320596,0.006915376288816333,0.04569107503630221,0.11923062566924712,152327.34170667207
GA-guided,20yr_0120m_h366,88,0.051252207020297647,0.010509585961699486,0.06591999903321266,0.11942711320113053,160194.17710670058
GA-guided,20yr_0180m_h435,118,0.06883217790164053,0.013993920292705297,0.08831441798247397,0.11859254485343473,160336.22055698832
GA-guided,20yr_0240m_h588,148,0.07970803091302514,0.017201143549755216,0.10366324405185878,0.11622394290375146,171323.98433446043
GA-guided,20yr_0360m_h664,208,0.10803381912410259,0.023984625935554504,0.14148153900168836,0.1153107016132428,176418.77644335027
GA-guided,20yr_0540m_h775,298,0.15034814807586372,0.03326641069725156,0.19646032294258475,0.11163225066191798,182021.48639677645
GA-guided,20yr_0720m_h983,388,0.19659748394042253,0.04405522742308676,0.25814786390401423,0.11354440057496588,180361.74809221804
GA-guided,20yr_1080m_h1084,568,0.2826960359234363,0.06301690242253244,0.3703401929233223,0.11094525074389515,184046.99598488436
GA-guided,20yr_1440m_h1149,748,0.3773805231321603,0.08371891500428319,0.4937869880814105,0.1119236831608064,181778.7875471544
GA-guided,30yr_0060m_h214,58,0.03637520899064839,0.006879350636154413,0.04599740612320602,0.11860949372680023,151312.88015148818
GA-guided,30yr_0120m_h335,88,0.051939222030341625,0.010308732511475682,0.06647011800669134,0.11714468763040549,158868.38050952397
GA-guided,30yr_0180m_h490,118,0.0658106729388237,0.013845204608514905,0.08515771781094372,0.11733224244504156,166279.70269748446
GA-guided,30yr_0240m_h619,148,0.08337112492881715,0.01712206844240427,0.10731654800474644,0.1156896516378667,165491.7189398834
GA-guided,30yr_0360m_h687,208,0.11692830710671842,0.02414754033088684,0.15053912508301437,0.11609394389849442,165804.07243788536
GA-guided,30yr_0540m_h753,298,0.15347979799844325,0.033838591538369656,0.2005460348445922,0.1135523205985559,178313.17396881597
GA-guided,30yr_0720m_h988,388,0.20060470583848655,0.04417120129801333,0.26204148097895086,0.11384330231446733,177681.7923103558
GA-guided,30yr_1080m_h1011,568,0.2899745348840952,0.06496397312730551,0.38023393601179123,0.11437319212553786,179258.06600778087
GA-guided,30yr_1440m_h1148,748,0.3775737821124494,0.08366279769688845,0.4937703439500183,0.11184866002257814,181784.9149909374
GA-guided,50yr_0060m_h244,58,0.03798983315937221,0.006768706487491727,0.04760591802187264,0.11670183599123667,146200.3105748788
GA-guided,50yr_0120m_h326,88,0.053080498008057475,0.010426022810861468,0.06765613309107721,0.1184775319416076,156083.4105872465
GA-guided,50yr_0180m_h411,118,0.06815267796628177,0.013696575304493308,0.08725167298689485,0.11607267207197718,162289.151775082
GA-guided,50yr_0240m_h616,148,0.08164988807402551,0.01740898611024022,0.10593124199658632,0.11762828452865015,167655.92157007207
GA-guided,50yr_0360m_h678,208,0.11499992804601789,0.023537682835012674,0.14779554400593042,0.1131619367067917,168881.95221229715
GA-guided,50yr_0540m_h777,298,0.1559196098241955,0.03363752085715532,0.20275592291727662,0.1128775867689776,176369.69359750787
GA-guided,50yr_0720m_h940,388,0.19772538100369275,0.04452962358482182,0.2596274788957089,0.1147670710949016,179333.86788654572
GA-guided,50yr_1080m_h1083,568,0.28488114988431334,0.06351150316186249,0.3731665648519993,0.11181602669341988,182653.01991091506
GA-guided,50yr_1440m_h1145,748,0.3820705518592149,0.08268868154846132,0.4969654039014131,0.11054636570649908,180616.19439772188
GA-guided,80yr_0060m_h246,58,0.03741275402717292,0.007120609749108553,0.047393556917086244,0.12276913360531987,146855.4050960204
GA-guided,80yr_0120m_h311,88,0.05234232498332858,0.010531615698710084,0.06704230513423681,0.1196774511217055,157512.48377954826
GA-guided,80yr_0180m_h396,118,0.07043568696826696,0.013740799622610211,0.08968561212532222,0.1164474544289001,157884.85649418907
GA-guided,80yr_0240m_h578,148,0.08274243003688753,0.016833678586408496,0.10625219601206481,0.11374107152978713,167149.48647257485
GA-guided,80yr_0360m_h677,208,0.11639283504337072,0.023649153066799045,0.14930969709530473,0.11369785128268771,167169.31643139006
GA-guided,80yr_0540m_h850,298,0.1658224710263312,0.03388912184163928,0.21292054397054017,0.11372188537462846,167949.9748269842
GA-guided,80yr_0720m_h952,388,0.19994536903686821,0.043830422684550285,0.2608646131120622,0.11296500691894402,178483.38816272773
GA-guided,80yr_1080m_h1070,568,0.2862780198920518,0.06318359239958227,0.3741405529435724,0.11123871901334906,182177.52516733954
GA-guided,80yr_1440m_h1188,748,0.3735491738189012,0.08335468196310103,0.48927613091655076,0.11143674059238105,183454.6881162064
PSO-guided,10yr_0060m_h193,58,0.034939554054290056,0.0068079568445682526,0.04456500802189112,0.11737856628565953,156176.34347964497
PSO-guided,10yr_0120m_h345,88,0.049486042000353336,0.010006570257246494,0.06338479882106185,0.11371102565052835,166601.459599349
PSO-guided,10yr_0180m_h385,118,0.06294002407230437,0.013569500530138612,0.0818362298887223,0.1149957672045645,173028.4987377133
PSO-guided,10yr_0240m_h515,148,0.07730491715483367,0.01680204994045198,0.1007511701900512,0.11352736446251338,176275.8682256351
PSO-guided,10yr_0360m_h672,208,0.10714467894285917,0.023577562533318996,0.13989680190570652,0.11335366602557209,178417.2308443733
PSO-guided,10yr_0540m_h800,298,0.1484953579492867,0.03341734386049211,0.1949244940187782,0.11213873778688628,183455.65127671964
PSO-guided,10yr_0720m_h912,388,0.19323665695264935,0.04387357155792415,0.25415879278443754,0.11307621535547463,183192.56040647565
PSO-guided,10yr_1080m_h1061,568,0.28195160487666726,0.06432953523471951,0.37135140085592866,0.11325622400478788,183545.82706002417
PSO-guided,10yr_1440m_h1176,748,0.3671044239308685,0.08283537859097123,0.4820350289810449,0.11074248474728773,186210.5336820442
PSO-guided,100yr_0060m_h140,58,0.038927430054172873,0.007057258393615484,0.04881614400073886,0.12167686885543938,142575.78394341544
PSO-guided,100yr_0120m_h322,88,0.05384641187265515,0.010967984329909086,0.06911303987726569,0.12463618556714871,152793.1634717987
PSO-guided,100yr_0180m_h465,118,0.06916669802740216,0.013288089074194431,0.08762145298533142,0.11261092435757993,161604.25920317144
PSO-guided,100yr_0240m_h602,148,0.08286520279943943,0.016905457945540547,0.10640269494615495,0.11422606719959828,166913.06558529785
PSO-guided,100yr_0360m_h670,208,0.11964996601454914,0.023599462117999792,0.1524937420617789,0.11345895249038361,163678.8478171655
PSO-guided,100yr_0540m_h862,298,0.16479971399530768,0.03369337460026145,0.21170269791036844,0.11306501543711897,168916.12791415732
PSO-guided,100yr_0720m_h964,388,0.2062232510652393,0.04403762170113623,0.2674233000725508,0.11349902500292842,174105.99595236644
PSO-guided,100yr_1080m_h1077,568,0.29060997907072306,0.06407153001055121,0.3796132169663906,0.1128019894551958,179551.17723426002
PSO-guided,100yr_1440m_h1202,748,0.3801722130738199,0.08355663157999516,0.4962341592181474,0.11170672671122348,180882.34824749536
PSO-guided,20yr_0060m_h225,58,0.0381096510682255,0.007275214651599526,0.04830639297142625,0.12543473537240563,144080.30846179955
PSO-guided,20yr_0120m_h366,88,0.05402659997344017,0.010323285358026624,0.06838321010582149,0.11731006088666618,154423.87076679547
PSO-guided,20yr_0180m_h435,118,0.0682668979279697,0.014101426117122173,0.08789505693130195,0.11950361116205233,161101.20971953336
PSO-guided,20yr_0240m_h588,148,0.08108498807996511,0.017776405671611428,0.10576620092615485,0.12011084913250965,167917.53740308678
