model,seed,episode,return_period_year,train_reward
Regular,2,70,80,127.013977
Regular,2,71,100,45.545758
Regular,2,72,20,22.793813
Regular,2,73,10,197.650650
Regular,2,74,50,213.711732
Regular,2,75,100,123.387860
Regular,2,76,50,124.752890
Regular,2,77,80,269.899469
Regular,2,78,20,64.872963
Regular,2,79,80,274.644773
Regular,2,80,10,62.853226
Regular,2,81,20,50.740130
Regular,2,82,80,281.301251
Regular,2,83,50,126.855178
Regular,2,84,10,38.232865
Regular,2,85,30,40.344027
Regular,2,86,10,122.449499
Regular,2,87,20,264.186627
Regular,2,88,80,70.069239
Regular,2,89,50,285.479467
Regular,2,90,10,280.610986
Regular,2,91,10,123.364355
Regular,2,92,20,28.527925
Regular,2,93,20,125.205516
Regular,2,94,10,40.360004
Regular,2,95,50,158.135486
Regular,2,96,100,97.692895
Regular,2,97,20,157.677429
Regular,2,98,10,123.073382
Regular,2,99,80,134.294434
Regular,2,100,10,40.666592
Regular,2,101,80,97.401031
Regular,2,102,20,230.174501
Regular,2,103,80,99.931553
Regular,2,104,20,158.096426
Regular,2,105,30,132.573988
Regular,2,106,10,130.198975
Regular,2,107,20,56.991444
Regular,2,108,30,100.957332
Regular,2,109,100,136.749868
Regular,2,110,30,29.900203
Regular,2,111,100,102.410702
Regular,2,112,100,72.521952
Regular,2,113,10,54.491180
Regular,2,114,80,99.087012
Regular,2,115,50,170.057558
Regular,2,116,80,61.908089
Regular,2,117,50,319.642299
Regular,2,118,80,180.908803
Regular,2,119,20,70.482939
Regular,2,120,20,42.746649
Regular,2,121,10,44.370549
Regular,2,122,50,335.219209
Regular,2,123,100,75.882359
Regular,2,124,30,46.301884
Regular,2,125,20,260.371354
Regular,2,126,30,59.507579
Regular,2,127,80,183.446222
Regular,2,128,30,138.696697
Regular,2,129,50,45.840534
Regular,2,130,10,101.081357
Regular,2,131,10,29.810565
Regular,2,132,80,63.690535
Regular,2,133,50,341.023352
Regular,2,134,10,251.389944
Regular,2,135,30,144.709623
Regular,2,136,20,142.959614
Regular,2,137,50,60.631118
Regular,2,138,80,336.017924
Regular,2,139,30,46.197026
Regular,2,140,30,103.028549
Regular,2,141,80,265.795891
Regular,2,142,30,141.215658
Regular,2,143,50,187.246484
Regular,2,144,10,336.402441
Regular,2,145,30,101.386353
Regular,2,146,100,262.336388
Regular,2,147,10,71.112791
Regular,2,148,50,31.663849
Regular,2,149,80,261.983425
Regular,2,150,50,30.122022
Regular,2,151,20,45.412853
Regular,2,152,30,257.988349
Regular,2,153,10,261.184961
Regular,2,154,10,322.099761
Regular,2,155,10,340.368236
Regular,2,156,20,44.719012
Regular,2,157,100,61.909069
Regular,2,158,80,63.443178
Regular,2,159,80,62.666201
GA-guided,2,0,10,84.244703
GA-guided,2,1,100,30.676796
GA-guided,2,2,30,190.163553
GA-guided,2,3,30,146.604267
GA-guided,2,4,30,187.898783
GA-guided,2,5,50,32.862110
GA-guided,2,6,30,185.355969
GA-guided,2,7,80,196.498916
GA-guided,2,8,30,104.987628
GA-guided,2,9,50,148.064446
GA-guided,2,10,50,351.137771
GA-guided,2,11,50,76.748577
GA-guided,2,12,100,194.185024
GA-guided,2,13,50,147.454639
GA-guided,2,14,80,272.634319
