model,seed,cum_reward
Regular,1,155.275846
Regular,1,32.938833
Regular,1,84.371940
Regular,1,47.713956
Regular,1,33.374055
Regular,1,110.209837
Regular,1,65.076935
Regular,1,292.224421
Regular,1,116.278505
Regular,1,159.566787
Regular,1,379.029121
Regular,1,290.159707
Regular,1,79.593633
Regular,1,48.863466
Regular,1,79.033414
Regular,1,79.798147
Regular,1,64.620258
Regular,1,110.103311
Regular,1,295.590043
Regular,1,295.096974
Regular,1,62.763717
Regular,1,50.072524
Regular,1,383.067910
Regular,1,34.127648
Regular,1,293.631167
Regular,1,203.644815
Regular,1,33.143993
Regular,1,68.041490
Regular,1,155.641119
Regular,1,198.689613
Regular,1,156.091698
Regular,1,79.665973
Regular,1,61.769205
Regular,1,32.906436
Regular,1,80.392166
Regular,1,292.576108
Regular,1,377.636035
Regular,1,65.412386
Regular,1,50.332839
Regular,1,289.491506
Regular,1,382.099185
Regular,1,79.829196
Regular,1,50.640437
Regular,1,204.044409
Regular,1,114.050302
Regular,1,116.470457
Regular,1,77.329208
Regular,1,77.662700
Regular,1,32.441880
Regular,1,82.566261
Regular,1,51.526389
Regular,1,157.470570
Regular,1,83.640123
Regular,1,157.321625
Regular,1,47.101674
Regular,1,287.731571
Regular,1,33.359484
Regular,1,204.563461
Regular,1,206.381498
Regular,1,201.030403
Regular,1,206.484930
Regular,1,111.325395
Regular,1,157.951377
Regular,1,157.357642
Regular,1,380.472041
Regular,1,115.206635
Regular,1,67.494384
Regular,1,32.975402
Regular,1,34.453419
Regular,1,67.553491
Regular,1,110.190782
Regular,1,83.880026
Regular,1,51.024672
Regular,1,51.890675
Regular,1,32.969135
Regular,1,33.973400
Regular,1,159.900335
Regular,1,375.296181
Regular,1,287.383992
Regular,1,52.313767
Regular,1,52.509851
Regular,1,63.111818
Regular,1,112.595173
Regular,1,65.211458
Regular,1,201.038753
Regular,1,294.651412
Regular,1,290.512966
Regular,1,379.835669
Regular,1,51.116694
Regular,1,34.366693
Regular,1,110.259159
Regular,1,113.526850
Regular,1,83.872404
Regular,1,114.431463
Regular,1,289.811116
Regular,1,294.853346
Regular,1,382.181374
Regular,1,66.051773
Regular,1,380.844102
Regular,1,203.270685
Regular,1,379.164650
Regular,1,116.605488
Regular,1,84.635781
Regular,1,206.047771
Regular,1,33.579895
Regular,1,48.867785
Regular,1,48.870985
Regular,1,47.357314
Regular,1,156.781685
Regular,1,78.102755
Regular,1,65.757911
Regular,1,379.146917
Regular,1,49.798294
Regular,1,377.669275
Regular,1,109.597909
Regular,1,51.208059
Regular,1,295.146175
Regular,1,52.217909
Regular,1,66.848124
Regular,1,84.969863
Regular,1,81.618290
Regular,1,79.710123
Regular,1,156.066854
Regular,1,32.978238
Regular,1,156.598976
Regular,1,201.039929
Regular,1,205.947804
Regular,1,111.223503
Regular,1,33.097945
Regular,1,292.041180
Regular,1,67.122386
Regular,1,157.038183
Regular,1,382.070582
Regular,1,45.885630
Regular,1,63.348281
Regular,1,154.739568
Regular,1,51.421637
Regular,1,34.005638
Regular,1,62.326697
Regular,1,290.407418
Regular,1,47.831706
Regular,1,159.639258
Regular,1,32.785875
Regular,1,287.340570
Regular,1,159.310206
Regular,1,157.510825
Regular,1,51.931964
Regular,1,52.015663
Regular,1,79.349351
Regular,1,376.942248
Regular,1,33.102076
Regular,1,32.959657
Regular,1,290.272463
Regular,1,83.194687
Regular,1,84.595696
Regular,1,288.399469
Regular,1,206.084741
Regular,1,288.894220
Regular,1,116.494510
Regular,1,160.230687
Regular,1,153.993429
Regular,1,288.894225
Regular,1,111.125653
Regular,1,158.334052
Regular,1,152.565852
Regular,1,156.682821
Regular,1,288.830568
Regular,1,49.983370
Regular,1,381.954592
Regular,1,78.528069
Regular,1,199.702527
Regular,1,32.964193
Regular,1,201.726929
Regular,1,158.693405
Regular,1,376.986551
Regular,1,109.690389
Regular,1,66.734451
Regular,1,34.124285
Regular,1,200.540551
Regular,1,49.959108
Regular,1,376.656308
Regular,1,66.130195
Regular,1,85.002970
Regular,1,160.986598
Regular,1,115.538584
Regular,1,33.604077
Regular,1,287.317404
Regular,1,160.609036
Regular,1,292.391221
Regular,1,80.411186
Regular,1,382.703601
Regular,1,286.717942
Regular,1,66.815089
Regular,1,200.560964
Regular,1,33.000367
Regular,1,50.498230
Regular,1,377.296984
Regular,1,49.738254
Regular,1,83.962907
Regular,1,161.058252
Regular,1,157.238200
Regular,1,33.299392
Regular,1,295.501562
Regular,1,50.560646
Regular,1,67.624237
Regular,1,33.679793
Regular,1,381.173578
Regular,1,81.833754
Regular,1,109.832632
Regular,1,158.603029
Regular,1,79.165065
Regular,1,51.841102
Regular,1,376.212050
Regular,1,109.708688
Regular,1,381.254636
Regular,1,108.867594
Regular,1,380.781035
Regular,1,62.860114
Regular,1,376.237506
Regular,1,115.882985
Regular,1,33.735075
Regular,1,49.643872
Regular,1,32.902830
Regular,1,66.071752
Regular,1,61.948020
Regular,1,292.160531
Regular,1,68.925819
